split,subject_key,site,threshold,min_size_voxels,dice,predicted_voxels,reference_voxels,volume_ratio,recall_voxelwise
train,training_Amsterdam_GE3T_106,Amsterdam,1.05,5,0.009213369286051239,170846,861,198.4274099883856,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.1,0,0.011135669336787127,141205,861,164.00116144018583,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.1,2,0.011148382004735596,141043,861,163.8130081300813,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.1,3,0.011157974919242216,140921,861,163.67131242741,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.1,5,0.011169082398458074,140780,861,163.5075493612079,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.15,0,0.013890230303881713,113032,861,131.27990708478512,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.15,2,0.01391417539600869,112836,861,131.05226480836237,0.9186991869918699
train,training_Amsterdam_GE3T_106,Amsterdam,1.15,3,0.013894881435628307,112706,861,130.90127758420442,0.9163763066202091
train,training_Amsterdam_GE3T_106,Amsterdam,1.15,5,0.013922587589663053,112480,861,130.63879210220674,0.9163763066202091
train,training_Amsterdam_GE3T_106,Amsterdam,1.2,0,0.01784139474933858,87585,861,101.72473867595819,0.9163763066202091
train,training_Amsterdam_GE3T_106,Amsterdam,1.2,2,0.017880847298017904,87278,861,101.36817653890824,0.9152148664343787
train,training_Amsterdam_GE3T_106,Amsterdam,1.2,3,0.01792477508729229,87062,861,101.11730545876887,0.9152148664343787
train,training_Amsterdam_GE3T_106,Amsterdam,1.2,5,0.01795655745185726,86795,861,100.80720092915215,0.9140534262485482
train,training_Amsterdam_GE3T_106,Amsterdam,1.25,0,0.023776988248155235,65001,861,75.49477351916376,0.9094076655052264
train,training_Amsterdam_GE3T_106,Amsterdam,1.25,2,0.02392739273927393,64587,861,75.01393728222996,0.9094076655052264
train,training_Amsterdam_GE3T_106,Amsterdam,1.25,3,0.024020149895564565,64251,861,74.62369337979094,0.908246225319396
train,training_Amsterdam_GE3T_106,Amsterdam,1.25,5,0.024155186260579477,63887,861,74.20092915214866,0.908246225319396
train,training_Amsterdam_GE3T_106,Amsterdam,1.3,0,0.03305397394067345,46032,861,53.46341463414634,0.9001161440185831
train,training_Amsterdam_GE3T_106,Amsterdam,1.3,2,0.033388693570303905,45502,861,52.847851335656216,0.8989547038327527
train,training_Amsterdam_GE3T_106,Amsterdam,1.3,3,0.033685126754433685,45094,861,52.3739837398374,0.8989547038327527
train,training_Amsterdam_GE3T_106,Amsterdam,1.3,5,0.034080401567522345,44561,861,51.75493612078978,0.8989547038327527
train,training_Amsterdam_GE3T_106,Amsterdam,1.35,0,0.047316140757684956,31052,861,36.0650406504065,0.8768873403019745
train,training_Amsterdam_GE3T_106,Amsterdam,1.35,2,0.048259771804787625,30428,861,35.340301974448316,0.8768873403019745
train,training_Amsterdam_GE3T_106,Amsterdam,1.35,3,0.04894175606910187,29992,861,34.83391405342625,0.8768873403019745
train,training_Amsterdam_GE3T_106,Amsterdam,1.35,5,0.05002650410813676,29323,861,34.05691056910569,0.8768873403019745
train,training_Amsterdam_GE3T_106,Amsterdam,1.4,0,0.07095773555641721,19771,861,22.962833914053427,0.8501742160278746
train,training_Amsterdam_GE3T_106,Amsterdam,1.4,2,0.07312322061835073,19160,861,22.253193960511034,0.8501742160278746
train,training_Amsterdam_GE3T_106,Amsterdam,1.4,3,0.07495775945932108,18670,861,21.684088269454122,0.8501742160278746
train,training_Amsterdam_GE3T_106,Amsterdam,1.4,5,0.07702932426689332,17963,861,20.86295005807201,0.8420441347270615
train,training_Amsterdam_GE3T_106,Amsterdam,1.5,0,0.16197094125078965,7054,861,8.192799070847851,0.7444831591173054
train,training_Amsterdam_GE3T_106,Amsterdam,1.5,2,0.17185185185185184,6564,861,7.623693379790941,0.7409988385598142
train,training_Amsterdam_GE3T_106,Amsterdam,1.5,3,0.1792811839323467,6234,861,7.2404181184668985,0.7386759581881533
train,training_Amsterdam_GE3T_106,Amsterdam,1.5,5,0.19206807476067467,5720,861,6.643437862950058,0.7340301974448316
train,training_Amsterdam_GE3T_106,Amsterdam,1.6,0,0.31198283787925224,2402,861,2.7897793263646924,0.5911730545876888
train,training_Amsterdam_GE3T_106,Amsterdam,1.6,2,0.3320079522862823,2157,861,2.505226480836237,0.5818815331010453
train,training_Amsterdam_GE3T_106,Amsterdam,1.6,3,0.3493723849372385,2007,861,2.3310104529616726,0.5818815331010453
train,training_Amsterdam_GE3T_106,Amsterdam,1.6,5,0.3673012318029115,1818,861,2.1114982578397212,0.5714285714285714
train,training_Amsterdam_GE3T_109,Amsterdam,1.05,0,0.0061902500700837,174243,548,317.9616788321168,0.9872262773722628
train,training_Amsterdam_GE3T_109,Amsterdam,1.05,2,0.006197767199949593,174031,548,317.57481751824815,0.9872262773722628
train,training_Amsterdam_GE3T_109,Amsterdam,1.05,3,0.006170467774215932,173831,548,317.20985401459853,0.9817518248175182
train,training_Amsterdam_GE3T_109,Amsterdam,1.05,5,0.006118770735515274,173670,548,316.9160583941606,0.9726277372262774
train,training_Amsterdam_GE3T_109,Amsterdam,1.1,0,0.007721209705398203,134923,548,246.20985401459853,0.9543795620437956
train,training_Amsterdam_GE3T_109,Amsterdam,1.1,2,0.007694527267481004,134613,548,245.6441605839416,0.948905109489051
train,training_Amsterdam_GE3T_109,Amsterdam,1.1,3,0.007677884579754397,134385,548,245.22810218978103,0.9452554744525548
train,training_Amsterdam_GE3T_109,Amsterdam,1.1,5,0.007634721644584398,134100,548,244.7080291970803,0.9379562043795621
train,training_Amsterdam_GE3T_109,Amsterdam,1.15,0,0.01013299556681444,98929,548,180.52737226277372,0.9197080291970803
