subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio,mean,sd,p_low,p_high,percentile_range
training_Singapore_Singapore_55,Singapore,percentile,,,0.6690133202212629,1.0,0.7109093312275201,1.0524247834555083,0.9165916534585451,1.4803924174666505,,,,,,,35.12281288146973,482.93187927246083,"[1, 99]"
training_Singapore_Singapore_57,Singapore,wm_referenced,277.33282470703125,112690.0,0.9167269683378813,1.3830715327474379,1.0,1.3740031792625633,1.2280520513462128,1.3740031792625633,1.3,0.6398613518197573,0.7115051069570245,1.223935247639237,,,,,
training_Singapore_Singapore_57,Singapore,z_score,,,0.3473356349255892,1.788894837437722,0.6047483170388654,1.7608628426093804,1.3097003168249821,2.9117283884829974,,,,,223.0764989762595,89.71720003527493,,,
training_Singapore_Singapore_57,Singapore,percentile,,,0.6415237872722649,1.0,0.7055352570969176,0.993029212172656,0.8808374733345773,1.407483470434485,,,,,,,22.7866512298584,383.5711349487302,"[1, 99]"
training_Singapore_Singapore_58,Singapore,wm_referenced,350.6710968017578,135126.0,0.9698400645281976,1.3563212243752947,1.0,1.3386920595236682,1.1912446580589908,1.3386920595236682,1.3,0.06014486109837719,0.6040515653775322,19.086556169429098,,,,,
training_Singapore_Singapore_58,Singapore,z_score,,,0.26804588453886,1.6097431781679674,0.37274828145402944,1.5485422575856382,1.0366679411866988,4.154391407372908,,,,,313.01897927645473,101.01218274817631,,,
training_Singapore_Singapore_58,Singapore,percentile,,,0.6922701269018303,1.0,0.7162845267733755,0.9859630397901827,0.8685602402350084,1.3764963543630064,,,,,,,35.2111604309082,475.6226513671876,"[1, 99]"
training_Singapore_Singapore_59,Singapore,wm_referenced,270.0484924316406,120262.0,0.9434432552385599,1.3404648597251496,1.0,1.346680379782955,1.1973163140617038,1.346680379782955,1.3,0.6705128205128205,0.6243178717598908,0.8622100954979536,,,,,
training_Singapore_Singapore_59,Singapore,z_score,,,0.36666836993245067,1.6458372859787227,0.5488892593602465,1.6658631484636832,1.184625180842275,3.034971298956217,,,,,224.0426770356025,83.81620629571042,,,
training_Singapore_Singapore_59,Singapore,percentile,,,0.6848335137132304,1.0,0.7297297871674948,1.0049340479080393,0.8863648132898186,1.3771317350341037,,,,,,,21.80496047973633,361.9905145263673,"[1, 99]"
